cycle,S,density
9230,0.017,3.959
9240,0.016,3.960
9250,0.016,3.960
9260,0.016,3.960
9270,0.016,3.962
9280,0.016,3.962
9290,0.016,3.962
9300,0.015,3.963
9310,0.015,3.964
9320,0.015,3.964
9330,0.015,3.964
9340,0.015,3.964
9350,0.016,3.964
9360,0.015,3.964
9370,0.016,3.964
9380,0.016,3.964
9390,0.016,3.964
9400,0.016,3.964
9410,0.015,3.964
9420,0.015,3.965
9430,0.015,3.965
9440,0.015,3.965
9450,0.015,3.965
9460,0.015,3.965
9470,0.016,3.965
9480,0.017,3.965
9490,0.017,3.965
9500,0.018,3.965
9510,0.017,3.966
9520,0.019,3.965
9530,0.019,3.966
9540,0.018,3.966
9550,0.018,3.966
9560,0.018,3.967
9570,0.018,3.968
9580,0.019,3.969
9590,0.019,3.969
9600,0.017,3.969
9610,0.018,3.970
9620,0.018,3.970
9630,0.019,3.970
9640,0.020,3.970
9650,0.019,3.971
9660,0.020,3.971
9670,0.020,3.971
9680,0.021,3.971
